latitude, longitude, provider, output
 53.72, 91.43 ,photon,frame
 43.43, 39.92 ,photon,frame
 47.11, 39.42 ,photon,frame
 56.4, 38.71 ,photon,frame
 54.51, 37.07 ,photon,frame
 54.9, 52.32 ,photon,frame
 64.73, 177.51 ,photon,frame
 44.89, 37.32 ,photon,frame
 52.54, 103.89 ,photon,frame
 56.08, 86.03 ,photon,frame
 67.56, 33.4 ,photon,frame
 55.39, 43.84 ,photon,frame
 44.99, 41.12 ,photon,frame
 44.15, 133.28 ,photon,frame
 43.36, 132.19 ,photon,frame
 64.54, 40.54 ,photon,frame
 57.01, 61.46 ,photon,frame
 46.35, 48.04 ,photon,frame
 56.27, 90.5 ,photon,frame
 52.03, 47.8 ,photon,frame
 56.49, 43.6 ,photon,frame
 55.81, 37.96 ,photon,frame
 51.55, 43.17 ,photon,frame
 53.36, 83.76 ,photon,frame
 47.14, 39.75 ,photon,frame
 50.61, 36.58 ,photon,frame
 54.12, 54.12 ,photon,frame
 54.42, 86.3 ,photon,frame
 50.92, 128.48 ,photon,frame
 53.96, 58.4 ,photon,frame
 44.77, 39.88 ,photon,frame
 54.76, 83.1 ,photon,frame
 59.41, 56.82 ,photon,frame
 55.6, 86.2 ,photon,frame
 52.54, 85.2 ,photon,frame
 48.79, 132.92 ,photon,frame
 50.28, 127.54 ,photon,frame
 56.36, 44.07 ,photon,frame
 51.37, 42.08 ,photon,frame
 58.39, 33.92 ,photon,frame
 56.13, 101.61 ,photon,frame
 53.25, 34.37 ,photon,frame
 54.54, 52.8 ,photon,frame
 53.66, 52.44 ,photon,frame
 44.78, 44.17 ,photon,frame
 52.78, 52.26 ,photon,frame
 42.82, 47.12 ,photon,frame
 56.34, 30.55 ,photon,frame
 58.52, 31.27 ,photon,frame
 56.97, 60.58 ,photon,frame
 55.55, 37.71 ,photon,frame
 43.11, 131.87 ,photon,frame
 43.04, 44.67 ,photon,frame
 56.14, 40.4 ,photon,frame
 48.72, 44.5 ,photon,frame
 47.51, 42.15 ,photon,frame
 55.87, 48.36 ,photon,frame
 48.79, 44.78 ,photon,frame
 59.22, 39.88 ,photon,frame
 52.05, 47.38 ,photon,frame
 67.5, 64.05 ,photon,frame
 51.67, 39.18 ,photon,frame
 55.32, 38.65 ,photon,frame
 55.88, 37.56 ,photon,frame
 57.05, 53.99 ,photon,frame
 60.71, 28.75 ,photon,frame
 55.32, 42.17 ,photon,frame
 57.59, 34.56 ,photon,frame
 55.21, 34.3 ,photon,frame
 59.58, 30.13 ,photon,frame
 44.56, 38.08 ,photon,frame
 44.15, 43.47 ,photon,frame
 58.14, 52.66 ,photon,frame
 51.96, 85.92 ,photon,frame
 43.31, 45.69 ,photon,frame
 51.28, 37.55 ,photon,frame
 48.06, 39.94 ,photon,frame
 55.61, 40.65 ,photon,frame
 42.07, 48.29 ,photon,frame
 56.24, 43.46 ,photon,frame
 56.34, 37.52 ,photon,frame
 55.95, 37.5 ,photon,frame
 55.44, 37.75 ,photon,frame
 48.34, 39.96 ,photon,frame
 56.73, 37.17 ,photon,frame
 55.38, 39.03 ,photon,frame
 46.71, 38.27 ,photon,frame
 56.85, 60.61 ,photon,frame
 55.76, 52.06 ,photon,frame
 52.62, 38.5 ,photon,frame
 44.04, 42.86 ,photon,frame
 56.25, 93.53 ,photon,frame
 52.33, 35.37 ,photon,frame
 55.74, 38.02 ,photon,frame
 53.4, 49.5 ,photon,frame
 55.6, 38.12 ,photon,frame
 53.13, 46.58 ,photon,frame
 53.2, 45.19 ,photon,frame
 53.71, 84.95 ,photon,frame
 56.11, 94.6 ,photon,frame
 55.98, 37.18 ,photon,frame
 55.84, 48.52 ,photon,frame
 55.17, 59.65 ,photon,frame
 57, 40.97 ,photon,frame
 55.97, 37.92 ,photon,frame
 56.85, 53.2 ,photon,frame
 52.3, 104.3 ,photon,frame
 54.64, 83.3 ,photon,frame
 56.11, 69.49 ,photon,frame
 53.45, 56.04 ,photon,frame
 56.64, 47.89 ,photon,frame
 55.79, 49.12 ,photon,frame
 54.71, 20.51 ,photon,frame
 54.53, 36.28 ,photon,frame
 48.32, 40.26 ,photon,frame
 56.42, 61.93 ,photon,frame
 50.1, 45.42 ,photon,frame
 56.2, 95.72 ,photon,frame
 42.88, 47.64 ,photon,frame
 55.33, 86.08 ,photon,frame
 43.85, 46.71 ,photon,frame
 56.87, 37.35 ,photon,frame
 9.37, 28.61 ,photon,frame
 57.44, 42.13 ,photon,frame
 59.45, 32.02 ,photon,frame
 58.6, 49.66 ,photon,frame
 58.55, 50.04 ,photon,frame
 53.99, 86.66 ,photon,frame
 43.91, 42.72 ,photon,frame
 55.36, 37.53 ,photon,frame
 56.33, 36.73 ,photon,frame
 52.76, 32.24 ,photon,frame
 56.36, 41.32 ,photon,frame
 62.27, 74.48 ,photon,frame
 55.08, 38.78 ,photon,frame
 59.75, 30.59 ,photon,frame
 50.55, 137.01 ,photon,frame
 55.12, 61.63 ,photon,frame
 55.91, 37.83 ,photon,frame
 57.77, 40.93 ,photon,frame
 61.26, 46.65 ,photon,frame
